lens,induction_k,induced_cluster,cluster_occurrences,cluster_units,cluster_dominant_role,cluster_dominant_role_share,cluster_top_roles
surface_token,24,0,197,9,R00,0.416,"R00,H01,R06"
surface_token,24,1,77,4,R06,0.519,"R06,R09"
surface_token,24,2,69,2,R06,1.0,R06
surface_token,24,3,25,2,H13,1.0,H13
surface_token,24,4,387,9,H12,0.23,"H12,H01,R00"
surface_token,24,5,23,2,R01,1.0,R01
surface_token,24,6,129,4,R06,1.0,R06
surface_token,24,7,49,4,R00,0.694,"R00,R06"
surface_token,24,8,273,8,H08,0.579,"H08,R07,R03"
surface_token,24,9,332,9,R06,0.389,"R06,R02,R01"
surface_token,24,10,38,2,R00,1.0,R00
surface_token,24,11,56,4,R04,0.679,"R04,R07"
surface_token,24,12,260,10,R06,0.665,"R06,R00,H08"
surface_token,24,13,88,4,R02,0.648,"R02,R06"
surface_token,24,14,117,7,R06,1.0,R06
surface_token,24,15,12,1,H13,1.0,H13
surface_token,24,16,204,7,R07,0.471,"R07,R00,R06"
surface_token,24,17,259,6,R10,0.907,"R10,R00,H13"
surface_token,24,18,58,4,R00,0.362,"R00,H09,H13"
surface_token,24,19,129,7,R06,0.705,"R06,R00"
surface_token,24,20,23,2,R00,1.0,R00
surface_token,24,21,50,3,R00,0.74,"R00,R01"
surface_token,24,22,270,6,R06,0.778,"R06,R11"
surface_token,24,23,10,1,R00,1.0,R00
conservative_morphology,24,0,47,3,R04,0.532,"R04,R00,H07"
conservative_morphology,24,1,186,4,R00,0.543,"R00,R04,R06"
conservative_morphology,24,2,12,1,R00,0.5,"R00,R06,H07"
conservative_morphology,24,3,153,7,R00,0.562,"R00,R06,H08"
conservative_morphology,24,4,143,6,R00,0.58,"R00,R06,R09"
conservative_morphology,24,5,124,3,R02,0.46,"R02,R00,R06"
conservative_morphology,24,6,1599,9,R06,0.36,"R06,R10,R00"
conservative_morphology,24,7,124,6,R00,0.653,"R00,R06,H11"
conservative_morphology,24,8,233,8,R00,0.386,"R00,R06,H01"
conservative_morphology,24,9,34,3,R06,0.294,"R06,H08,R00"
conservative_morphology,24,10,77,3,R00,0.494,"R00,R06,H08"
conservative_morphology,24,11,570,2,R06,0.228,"R06,H01,R02"
conservative_morphology,24,12,64,4,R06,0.656,"R06,R00"
conservative_morphology,24,13,144,5,R00,0.438,"R00,R06,H09"
conservative_morphology,24,14,26,1,R00,0.692,"R00,R06,H08"
conservative_morphology,24,15,27,2,R00,0.778,"R00,H21,H07"
conservative_morphology,24,16,12,1,R00,1.0,R00
